listing_id,source_key,source,source_type,market,country,make,model,year,km,mileage_mi,price,currency,price_usd,city,region,dealer_name,dealer_company,body_type,vin,vpic_body_class,vpic_gvwr,vpic_drive_type,vpic_engine,transmission,color,drive_type,usage_class,fifth_wheel_height_mm,spec_horsepower,spec_engine_type,spec_engine_manufacturer,spec_sleeper_type,spec_wheel_base,damaged,url,n_images,split,n_images_kept
547BDE87,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T800,2000,15805,,,USD,,Morris,Illinois,,Ritchie Bros Chicago,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t800/8jaqgtbm.html,15,train,15
5A28E323,mascus,mascus.com,marketplace_dealer,US,United States,Mack,CH613,1999,853332,,,USD,,Morris,Illinois,,Ritchie Bros Chicago,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/mack-ch613/8p5nhi5i.html,15,train,15
5DAE847A,mascus,mascus.com,marketplace_dealer,US,United States,International,LT625,2019,1227642,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/international-lt625/8sdtbjap.html,15,train,14
63DCA878,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T370,2014,417886,,,USD,,Phoenix,Arizona,,Ritchie Bros Phoenix,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t370/9igrdnan.html,15,train,15
661CA7B7,mascus,mascus.com,marketplace_dealer,US,United States,Freightliner,Cascadia 125 6x4 T/A Sleeper Truck Tractor,2017,1085800,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/freightliner-cascadia-125-6x4-t-a-sleeper-truck-tractor/9l4rdmem.html,15,test,14
6A511BEF,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,W900,2013,1586055,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-w900/9p8g4qhu.html,15,train,15
7A8FA1AD,mascus,mascus.com,marketplace_dealer,US,United States,Peterbilt,379 6x4 T/A Day Cab Truck Tractor,2003,488807,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/peterbilt-379-6x4-t-a-day-cab-truck-tractor/apbudgds.html,15,val,15
80643905,mascus,mascus.com,marketplace_dealer,US,United States,Mack,6x4 T/A Day Cab Truck Tractor,2015,442000,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/mack-6x4-t-a-day-cab-truck-tractor/bf9j6o3k.html,15,train,15
83AEA622,mascus,mascus.com,marketplace_dealer,US,United States,Sterling,LT9500,2001,579886,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/sterling-lt9500/bidtdl5h.html,15,val,15
85584B75,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T600,2009,2070375,,,USD,,Morris,Illinois,,Ritchie Bros Chicago,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t600/bk8n7qak.html,15,train,15
8E597523,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T800,2012,534029,,,USD,,Perris,California,,Ritchie Bros Los Angeles,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t800/bt8oak5i.html,15,train,15
9712F461,mascus,mascus.com,marketplace_dealer,US,United States,Peterbilt,384,2011,1080845,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/peterbilt-384/cm4hij9g.html,15,val,15
99DC9056,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,W900,2012,1020564,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-w900/cogrcf8l.html,15,val,15
9D596653,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T660,2013,,,,USD,,Chehalis,Washington,,Ritchie Bros Chehalis,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t660/cs8o9l8i.html,15,train,15
9EF19618,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,W900,2013,1520672,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-w900/ctigcl4n.html,15,train,15
B7CF87B5,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T800,2009,,,,USD,,Morris,Illinois,,Ritchie Bros Chicago,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t800/emfubmek.html,15,train,15
BA8B82D2,mascus,mascus.com,marketplace_dealer,US,United States,Mack,CHU613,2016,868009,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/mack-chu613/epbqbhgh.html,15,val,15
BE752C1D,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T680,2024,478806,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t680/etak5r4s.html,15,train,15
C6EA973F,mascus,mascus.com,marketplace_dealer,US,United States,Freightliner,Cascadia 113,2015,1645335,,,USD,,Morris,Illinois,,Ritchie Bros Chicago,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/freightliner-cascadia-113/flhpcm6u.html,15,train,15
CF0B2D86,mascus,mascus.com,marketplace_dealer,US,United States,Peterbilt,337,2011,292093,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/peterbilt-337/fu3q5sbl.html,15,train,15
DC65984E,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,W900,2005,1271958,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-w900/gr9kcn7t.html,15,train,15
DD8C9AB9,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T800,2012,66615,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t800/gsbrcpeo.html,15,test,15
E3897594,mascus,mascus.com,marketplace_dealer,US,United States,Freightliner,Columbia 120 6x4 T/A Sleeper Truck Tractor,2007,811098,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/freightliner-columbia-120-6x4-t-a-sleeper-truck-tractor/hiboakcj.html,15,train,15
E607720A,mascus,mascus.com,marketplace_dealer,US,United States,Freightliner,Columbia 112,2007,471818,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/freightliner-columbia-112/hl3mah3p.html,15,train,15
EA2DCF86,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T680,2019,1052852,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t680/hp5sfubl.html,15,val,15
F47BD5AD,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,W900,2013,1584238,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-w900/ijaqgkds.html,15,test,15
12967,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,TRUCKS,2015,575000,,1400000,TRY,28808.96,Hatay,,,,Çekici,,,,,,Otomatik,BEYAZ,4x2,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/12967,20,train,19
13573,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,TRUCKS,2015,499150,,1400000,TRY,28808.96,Hatay,,,,Çekici,,,,,,Otomatik,BEYAZ,4x2,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/13573,20,train,19
13599,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,436531,,2200000,TRY,45271.22,Hatay,,,,Çekici,,,,,,Otomatik,BEYAZ,4x2,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/13599,20,train,19
13824,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2021,344045,,2500000,TRY,51444.56,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13824,22,test,21
13825,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2021,346802,,2500000,TRY,51444.56,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13825,22,train,21
13826,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,353020,,2200000,TRY,45271.22,İstanbul,,,,Çekici,,,,,,Otomatik,MAVİ (BLAZER),4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13826,20,val,19
13828,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,510407,,2100000,TRY,43213.43,İstanbul,,,,Çekici,,,,,,Otomatik,CARGO RAL5012 MAVI,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13828,22,train,21
13829,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,516742,,2100000,TRY,43213.43,İstanbul,,,,Çekici,,,,,,Otomatik,CARGO RAL5015 TURKER MAVI,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13829,22,test,21
13856,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,545238,,2100000,TRY,43213.43,İstanbul,,,,Çekici,,,,,,Otomatik,AYTOZU GRİ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13856,22,train,21
13858,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,534368,,2100000,TRY,43213.43,İstanbul,,,,Çekici,,,,,,Otomatik,YILDIRIM MAVİSİ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13858,22,val,21
13860,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,427574,,2150000,TRY,44242.32,İstanbul,,,,Çekici,,,,,,Otomatik,METAL MAVİ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13860,22,test,21
13862,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,358272,,2200000,TRY,45271.22,İstanbul,,,,Çekici,,,,,,Otomatik,METAL MAVİ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13862,22,test,21
13863,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,332113,,2200000,TRY,45271.22,İstanbul,,,,Çekici,,,,,,Otomatik,METAL MAVİ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13863,22,test,21
13864,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,319336,,2200000,TRY,45271.22,İstanbul,,,,Çekici,,,,,,Otomatik,METAL MAVİ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13864,22,val,21
13865,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,328101,,2200000,TRY,45271.22,İstanbul,,,,Çekici,,,,,,Otomatik,METAL MAVİ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13865,22,train,21
13866,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2021,345970,,2500000,TRY,51444.56,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13866,22,train,21
13897,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,272135,,2200000,TRY,45271.22,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,4x2,İnşaat,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13897,20,test,19
13904,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,273494,,2200000,TRY,45271.22,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,İnşaat,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13904,20,train,19
13940,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2020,415371,,2820000,TRY,58029.47,Hatay,,,,Çekici,,,,,,Otomatik,BEYAZ,4x2,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/13940,20,train,19
13971,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,TRUCKS,2013,546395,,1150000,TRY,23664.5,Hatay,,,,Çekici,,,,,,Manuel (Aktarmalı),BEYAZ,4x2,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13971,20,train,19
13984,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2021,316669,,2500000,TRY,51444.56,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/13984,22,train,21
14077,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,TRUCKS,2017,596444,,1500000,TRY,30866.74,İstanbul,,,,Çekici,,,,,,Otomatik,CARGO RAL3003 KIRMIZI,,Yurt Dışı Lojistik,980,,,,,,,https://www.truckmarket.com.tr/arac-detay/14077,22,test,21
14087,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,211809,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14087,20,train,20
14089,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,184392,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14089,20,train,19
14090,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,212846,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14090,20,val,19
14091,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,214769,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14091,20,train,19
14094,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,254791,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14094,20,val,19
14095,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,158933,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14095,20,train,19
14101,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,196036,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14101,20,train,19
14102,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,277571,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14102,20,val,19
14104,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,285126,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14104,20,val,19
14106,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,181997,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14106,20,val,19
14107,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,261337,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14107,20,train,19
14109,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,255549,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14109,20,train,19
14111,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,269081,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14111,20,train,19
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,train,21
14192,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,952768,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14192,24,train,19
14193,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,980423,,1450000,TRY,29837.85,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14193,24,train,19
14194,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,947156,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14194,24,test,20
14196,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,883670,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14196,24,train,20
14205,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2022,211993,,2800000,TRY,57617.91,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14205,20,test,19
14210,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2021,309361,,2400000,TRY,49386.78,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,4x2,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14210,22,train,20
14213,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,F-MAX,2021,348177,,2550000,TRY,52473.45,İstanbul,,,,Çekici,,,,,,Otomatik,AYTOZU GRİ,4x2,Yurt İçi Lojistik,1100,,,,,,,https://www.truckmarket.com.tr/arac-detay/14213,22,train,21
14241,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,FORD,TRUCKS,2018,541067,,1550000,TRY,31895.63,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt Dışı Lojistik,980,,,,,,,https://www.truckmarket.com.tr/arac-detay/14241,20,val,19
